"旧相对路径","新相对路径","操作类型","原因","大小"
"02、仙侠\25、这是","02、仙侠\这是我的星球","文件夹改名","书文件夹规范化为书名","0"
"05、奇幻\15、大 龙","05、奇幻\大龙挂了","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\58、剑 道","01、玄幻\剑道第一仙","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\71、长 生 仙","02、仙侠\我为长生仙","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\52、异 世","01、玄幻\异世邪君","文件夹改名","书文件夹规范化为书名","0"
"06、历史\02、娱乐cq","06、历史\娱乐春秋","文件夹改名","书文件夹规范化为书名","0"
"03、都市\48、陈 二","03、都市\陈二狗的妖孽人生","文件夹改名","书文件夹规范化为书名","0"
"06、历史\16、长 宁","06、历史\长宁帝军","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\28、卡 徒","04、科幻\卡徒","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\13、无 限","04、科幻\无限恐怖","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\25、间k","01、玄幻\间客","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\54、大 数 据","02、仙侠\大数据修仙","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\16、寸芒","02、仙侠\寸芒","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\23、上d之s","08、游戏\英雄联盟：上帝之手","文件夹改名","书文件夹规范化为书名","0"
"06、历史\35、回 到","06、历史\回到明朝当王爷","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\20、剑L","02、仙侠\剑来","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\77、至 尊","01、玄幻\我是至尊","文件夹改名","书文件夹规范化为书名","0"
"03、都市\57、火 力","03、都市\火力为王","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\26、将y","01、玄幻\将夜","文件夹改名","书文件夹规范化为书名","0"
"03、都市\12、女主","03、都市\女主从书里跑出来了怎么办","文件夹改名","书文件夹规范化为书名","0"
"07、武侠\07、金 刚","07、武侠\金刚不坏大寨主","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\21、元z","01、玄幻\元尊","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\19、长生j","01、玄幻\长生界","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\03、我师兄实在太稳健了","02、仙侠\我师兄实在太稳健了","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\61、召 唤","01、玄幻\召唤梦魇","文件夹改名","书文件夹规范化为书名","0"
"03、都市\08、我是","03、都市\我是大玩家","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\22、星 级","04、科幻\星级猎人","文件夹改名","书文件夹规范化为书名","0"
"07、武侠\01、不死","07、武侠\不死不灭","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\31、择 日","02、仙侠\择日飞升","文件夹改名","书文件夹规范化为书名","0"
"03、都市\51、回 到","03、都市\回到过去变成猫","文件夹改名","书文件夹规范化为书名","0"
"03、都市\37、养成","03、都市\养成系男神：听劝后，我成了顶流","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\04、学霸的hkjxt","04、科幻\学霸的黑科技系统","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\18、近战fs","08、游戏\网游之近战法师","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\07、圣墟","01、玄幻\圣墟","文件夹改名","书文件夹规范化为书名","0"
"03、都市\03、修真","03、都市\修真聊天群","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\16、隐 秘","04、科幻\隐秘死角","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\72、望 长 天","02、仙侠\望长天","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\44、渊 T 尊","01、玄幻\渊天尊","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\39、N 侠","01、玄幻\女侠且慢","文件夹改名","书文件夹规范化为书名","0"
"06、历史\25、大 唐","06、历史\大唐太子","文件夹改名","书文件夹规范化为书名","0"
"16、体育\01、禁 区","16、体育\禁区之狐","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\10、黎 明","04、科幻\黎明之剑","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\21、极道","02、仙侠\极道天魔","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\04、仙逆","02、仙侠\仙逆","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\27、光 明","04、科幻\光明壁垒","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\34、神 话 D 皇","02、仙侠\最强神话帝皇","文件夹改名","书文件夹规范化为书名","0"
"07、武侠\05、玩 家","07、武侠\玩家凶猛","文件夹改名","书文件夹规范化为书名","0"
"03、都市\45、学 霸","03、都市\神级学霸","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\13、c生z最强剑神","08、游戏\重生之最强剑神","文件夹改名","书文件夹规范化为书名","0"
"03、都市\17、这个","03、都市\这个明星来自地球","文件夹改名","书文件夹规范化为书名","0"
"06、历史\13、败 家 Z","06、历史\明朝败家子","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\06、遮天","01、玄幻\遮天","文件夹改名","书文件夹规范化为书名","0"
"10、灵异\01、道诡","10、灵异\道诡异仙","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\13、三寸rj","02、仙侠\三寸人间","文件夹改名","书文件夹规范化为书名","0"
"03、都市\23、信息","03、都市\信息全知者","文件夹改名","书文件夹规范化为书名","0"
"06、历史\06、极品jd","06、历史\极品家丁","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\08、玄界zm","02、仙侠\玄界之门","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\12、不科学","01、玄幻\不科学御兽","文件夹改名","书文件夹规范化为书名","0"
"11、悬疑\07、诡 舍","11、悬疑\诡舍","文件夹改名","书文件夹规范化为书名","0"
"06、历史\20、银 狐","06、历史\银狐","文件夹改名","书文件夹规范化为书名","0"
"06、历史\24、如 意","06、历史\如意小郎君","文件夹改名","书文件夹规范化为书名","0"
"03、都市\33、疯 子","03、都市\纨绔疯子","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\33、天z变","01、玄幻\天珠变","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\26、请G子Z妖","02、仙侠\请公子斩妖","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\17、什么叫六边形","08、游戏\什么叫六边形打野啊","文件夹改名","书文件夹规范化为书名","0"
"06、历史\36、文 豪","06、历史\文豪崛起","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\35、法 爷","08、游戏\我真没针对法爷","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\37、阳 S","02、仙侠\阳神","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\29、道 君","02、仙侠\道君","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\70、仙 人","02、仙侠\仙人只想躺着","文件夹改名","书文件夹规范化为书名","0"
"17、其他\01、海贼王之mcgs","17、其他\海贼王之母巢果实","文件夹改名","书文件夹规范化为书名","0"
"06、历史\30、九 锡","06、历史\九锡","文件夹改名","书文件夹规范化为书名","0"
"03、都市\22、异兽","03、都市\异兽迷城","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\18、大梦z","02、仙侠\大梦主","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\66、绝 世","01、玄幻\绝世武神","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\24、蟑 螂","04、科幻\末日蟑螂","文件夹改名","书文件夹规范化为书名","0"
"14、轻小说\07、世 界","14、轻小说\世界树的游戏","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\16、武动","01、玄幻\武动乾坤","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\52、苟 在","02、仙侠\苟在女魔头身边偷偷修炼","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\02、斗罗","01、玄幻\斗罗大陆系列","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\30、神 秀","08、游戏\神秀之主","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\28、黎 明","08、游戏\超凡黎明","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\68、图 书 馆","01、玄幻\天道图书馆","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\26、崛 起","08、游戏\主神崛起","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\11、深 海","04、科幻\深海余烬","文件夹改名","书文件夹规范化为书名","0"
"14、轻小说\08、轮 回","14、轻小说\轮回乐园","文件夹改名","书文件夹规范化为书名","0"
"06、历史\10、秦 L","06、历史\秦吏","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\05、一念永恒","02、仙侠\一念永恒","文件夹改名","书文件夹规范化为书名","0"
"03、都市\44、我 的","03、都市\我的姐姐是大明星","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\74、仙 吏","02、仙侠\大周仙吏","文件夹改名","书文件夹规范化为书名","0"
"07、武侠\04、龙 蛇","07、武侠\龙蛇演义","文件夹改名","书文件夹规范化为书名","0"
"03、都市\46、超 级","03、都市\超级能源强国","文件夹改名","书文件夹规范化为书名","0"
"14、轻小说\02、不 许","14、轻小说\不许没收我的人籍","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\53、帝 霸","01、玄幻\帝霸","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\03、完美","01、玄幻\完美世界","文件夹改名","书文件夹规范化为书名","0"
"03、都市\21、兼z艺s家","03、都市\兼职艺术家","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\64、文 圣","02、仙侠\大夏文圣","文件夹改名","书文件夹规范化为书名","0"
"05、奇幻\13、骑 士","05、奇幻\巫师：从骑士呼吸法开始肝经验","文件夹改名","书文件夹规范化为书名","0"
"03、都市\65、野 性","03、都市\重生野性时代","文件夹改名","书文件夹规范化为书名","0"
"03、都市\11、我的nysen","03、都市\我的女友是恶女","文件夹改名","书文件夹规范化为书名","0"
"03、都市\07、重生","03、都市\重生之财源滚滚","文件夹改名","书文件夹规范化为书名","0"
"03、都市\14、天w","03、都市\天王","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\46、最 强","01、玄幻\万古最强宗","文件夹改名","书文件夹规范化为书名","0"
"05、奇幻\07、无限","05、奇幻\无限血核","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\41、永 夜","01、玄幻\永夜君王","文件夹改名","书文件夹规范化为书名","0"
"10、灵异\02、我有yzmxw","10、灵异\我有一座冒险屋(我有一座恐怖屋)","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\39、弃 宇","02、仙侠\弃宇宙","文件夹改名","书文件夹规范化为书名","0"
"03、都市\19、w娱w岁","03、都市\文娱万岁","文件夹改名","书文件夹规范化为书名","0"
"07、武侠\03、最强","07、武侠\最强反派系统","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\67、太 平","01、玄幻\太平令","文件夹改名","书文件夹规范化为书名","0"
"14、轻小说\05、术 师","14、轻小说\术师手册","文件夹改名","书文件夹规范化为书名","0"
"06、历史\01、庆余年","06、历史\庆余年","文件夹改名","书文件夹规范化为书名","0"
"05、奇幻\09、诡m地h","05、奇幻\诡秘地海","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\49、顶 级 气 运","01、玄幻\顶级气运，悄悄修炼千年","文件夹改名","书文件夹规范化为书名","0"
"06、历史\09、满 唐","06、历史\满唐华彩","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\69、妖 女","02、仙侠\妖女请留步","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\89、金 丹","01、玄幻\金丹是恒星，你管这叫修仙？","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\01、斗破","01、玄幻\斗破","文件夹改名","书文件夹规范化为书名","0"
"03、都市\63、医 生","03、都市\当医生开了外挂","文件夹改名","书文件夹规范化为书名","0"
"14、轻小说\13、出 牌","14、轻小说\我就是不按套路出牌","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\17、武道zs","01、玄幻\武道宗师","文件夹改名","书文件夹规范化为书名","0"
"03、都市\25、都重s了","03、都市\都重生了谁谈恋爱啊","文件夹改名","书文件夹规范化为书名","0"
"03、都市\52、黄 金","03、都市\黄金渔场","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\54、我 有","01、玄幻\我有一剑","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\26、星 河","01、玄幻\星河大帝","文件夹改名","书文件夹规范化为书名","0"
"03、都市\56、这 明 星","03、都市\这个明星合法但有病","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\64、修 行","01、玄幻\我的属性修行人生","文件夹改名","书文件夹规范化为书名","0"
"06、历史\29、世 子","06、历史\世子很凶","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\20、峡谷zd","08、游戏\峡谷之巅","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\01、惊 悚 乐 园","08、游戏\惊悚乐园","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\06、这游戏","08、游戏\这游戏也太真实了","文件夹改名","书文件夹规范化为书名","0"
"03、都市\62、卖 大 力","03、都市\开局地摊卖大力","文件夹改名","书文件夹规范化为书名","0"
"03、都市\38、手 术","03、都市\手术直播间","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\35、造 化","02、仙侠\造化之门","文件夹改名","书文件夹规范化为书名","0"
"05、奇幻\14、亵 d","05、奇幻\亵渎","文件夹改名","书文件夹规范化为书名","0"
"03、都市\42、穹 顶","03、都市\穹顶之上","文件夹改名","书文件夹规范化为书名","0"
"11、悬疑\10、通 幽","11、悬疑\通幽大圣","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\68、大 周","02、仙侠\大周不良人","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\06、异常","04、科幻\异常生物见闻录","文件夹改名","书文件夹规范化为书名","0"
"06、历史\23、挽 天 倾","06、历史\红楼之挽天倾","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\04、诡秘","01、玄幻\诡秘之主","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\42、聊 z","02、仙侠\聊斋大圣人","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\75、大 劫 主","02、仙侠\大劫主","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\27、梦 路","08、游戏\逍遥梦路","文件夹改名","书文件夹规范化为书名","0"
"06、历史\14、家 父","06、历史\家父汉高祖","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\06、神秘复苏","02、仙侠\神秘复苏","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\73、反 套 路","02、仙侠\最强反套路系统","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\02、亏 成 首 富","08、游戏\亏成首富从游戏开始","文件夹改名","书文件夹规范化为书名","0"
"05、奇幻\10、巫 界","05、奇幻\巫界术士","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\56、谁 让","02、仙侠\谁让他修仙的！","文件夹改名","书文件夹规范化为书名","0"
"03、都市\47、大 医","03、都市\大医凌然","文件夹改名","书文件夹规范化为书名","0"
"05、奇幻\03、酒s","05、奇幻\酒神（阴阳冕）","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\50、从 前","02、仙侠\从前有座灵剑山","文件夹改名","书文件夹规范化为书名","0"
"06、历史\18、唐 人","06、历史\唐人的餐桌","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\47、伏 天","01、玄幻\伏天氏","文件夹改名","书文件夹规范化为书名","0"
"07、武侠\02、九dj","07、武侠\九鼎记","文件夹改名","书文件夹规范化为书名","0"
"08、游戏\04、超神机械","08、游戏\超神机械师","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\23、狩 魔","04、科幻\狩魔手记","文件夹改名","书文件夹规范化为书名","0"
"14、轻小说\09、精灵","14、轻小说\精灵掌门人","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\84、别 秀","01、玄幻\公子别秀","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\25、宇 宙","04、科幻\宇宙职业选手","文件夹改名","书文件夹规范化为书名","0"
"05、奇幻\04、高天","05、奇幻\高天之上","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\15、人道","01、玄幻\人道至尊","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\49、大 苍","02、仙侠\大苍守夜人","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\71、超 神","01、玄幻\超级神基因","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\61、半 仙","02、仙侠\半仙","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\01、斗破\《斗破》（校对版全本）.txt","01、玄幻\《斗破》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10800589"
"01、玄幻\02、斗罗\《斗罗大陆》（校对版全本）.txt","01、玄幻\《斗罗大陆》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","5947282"
"01、玄幻\02、斗罗\《斗罗大陆III龙王传说》（校对版全本）.txt","01、玄幻\《斗罗大陆III龙王传说》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10354618"
"01、玄幻\02、斗罗\《斗罗大陆II绝世唐门》（校对版全本）.txt","01、玄幻\《斗罗大陆II绝世唐门》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10838897"
"01、玄幻\02、斗罗\《斗罗大陆IV终极斗罗》（校对版全本）.txt","01、玄幻\《斗罗大陆IV终极斗罗》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","9131949"
"01、玄幻\03、完美\《完美世界》（校对版全本）.txt","01、玄幻\《完美世界》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","14245680"
"01、玄幻\04、诡秘\《诡秘之主》（精校版全本）.txt","01、玄幻\《诡秘之主》（精校版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","9589843"
"01、玄幻\05、永生\《永生》（校对版全本）.txt","01、玄幻\《永生》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10670788"
"01、玄幻\06、遮天\《遮天》（精校版全本）.txt","01、玄幻\《遮天》（精校版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","13622648"
"01、玄幻\07、圣墟\《圣墟》（校对版全本+番外）.txt","01、玄幻\《圣墟》（校对版全本+番外）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","13301643"
"01、玄幻\08、牧 神\《牧神记》（校对版全本）.txt","01、玄幻\《牧神记》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","12479742"
"01、玄幻\09、神 M\《神墓》（校对版全本）.txt","01、玄幻\《神墓》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","5932725"
"01、玄幻\10、沧YT\《沧元图》（校对版全本）.txt","01、玄幻\《沧元图》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","4171383"
"01、玄幻\11、盘L\《盘龙》（精校版全本）.txt","01、玄幻\《盘龙》（精校版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","6188732"
"01、玄幻\12、不科学\《不科学御兽》（精校版全本）.txt","01、玄幻\《不科学御兽》（精校版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","8861090"
"01、玄幻\13、一世\《一世之尊》（精校版全本）.txt","01、玄幻\《一世之尊》（精校版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","9465871"
"01、玄幻\14、奥术\《奥术神座》（精校版全本+番外）.txt","01、玄幻\《奥术神座》（精校版全本+番外）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","6688286"
"01、玄幻\15、人道\《人道至尊》（精校版全本）.txt","01、玄幻\《人道至尊》（精校版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10353671"
"01、玄幻\16、武动\《武动乾坤》（精校版全本）.txt","01、玄幻\《武动乾坤》（精校版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","8254082"
"01、玄幻\17、武道zs\《武道宗师》（校对版全本）.txt","01、玄幻\《武道宗师》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","5425739"
"01、玄幻\18、长夜yh\《长夜余火》（校对版全本）.txt","01、玄幻\《长夜余火》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","6229566"
"01、玄幻\19、长生j\《长生界》（校对版全本）.txt","01、玄幻\《长生界》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","5973425"
"01、玄幻\20、大主z\《大主宰》（校对版全本）.txt","01、玄幻\《大主宰》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10517409"
"01、玄幻\21、元z\《元尊》（校对版全本）.txt","01、玄幻\《元尊》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","8223110"
"01、玄幻\22、魔兽剑圣\《魔兽剑圣异界纵横》（校对版全本）.txt","01、玄幻\《魔兽剑圣异界纵横》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","4851170"
"01、玄幻\23、雪 鹰\《雪鹰领主》（校对版全本）.txt","01、玄幻\《雪鹰领主》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","7751056"
"01、玄幻\24、星 门\《星门》（校对版全本）.txt","01、玄幻\《星门》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","14352246"
"01、玄幻\25、间k\《间客》（精校版全本）.txt","01、玄幻\《间客》（精校版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","7065908"
"01、玄幻\26、将y\《将夜》（校对版全本）.txt","01、玄幻\《将夜》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","7990694"
"01、玄幻\26、星 河\《星河大帝》（校对版全本）.txt","01、玄幻\《星河大帝》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","7292576"
"01、玄幻\27、择tj\《择天记》（校对版全本）.txt","01、玄幻\《择天记》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","6728297"
"01、玄幻\28、大道\《大道朝天》（校对版全本）.txt","01、玄幻\《大道朝天》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","6575440"
"01、玄幻\29、朱雀\《朱雀记》（校对版全本）.txt","01、玄幻\《朱雀记》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","2942791"
"01、玄幻\30、临渊\《临渊行》（校对版全本）.txt","01、玄幻\《临渊行》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","7319259"
"01、玄幻\31、宿命zh\《宿命之环》（校对版全本）.txt","01、玄幻\《宿命之环》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","8080691"
"01、玄幻\32、神印wz\《神印王座》（校对版全本）.txt","01、玄幻\《神印王座》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","5356933"
"01、玄幻\33、天z变\《天珠变》（校对版全本）.txt","01、玄幻\《天珠变》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","5407849"
"01、玄幻\34、雪中hdx\《雪中悍刀行》（校对版全本）.txt","01、玄幻\《雪中悍刀行》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","9708029"
"01、玄幻\35、儒道zs\《儒道至圣》（校对版全本）.txt","01、玄幻\《儒道至圣》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","16510321"
"01、玄幻\36、乱s\《乱世书》（校对版全本）.txt","01、玄幻\《乱世书》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","9594271"
"01、玄幻\37、我的徒弟\《我的徒弟都是大反派》（校对版全本）.txt","01、玄幻\《我的徒弟都是大反派》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10087039"
"01、玄幻\38、恶m法z\《恶魔法则》（校对版全本）.txt","01、玄幻\《恶魔法则》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","7448380"
"01、玄幻\39、N 侠\《女侠且慢》（校对版全本）.txt","01、玄幻\《女侠且慢》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","9735646"
"01、玄幻\40、全 职\《全职法师》.txt","01、玄幻\《全职法师》.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","22582887"
"01、玄幻\41、永 夜\《永夜君王》（校对版全本）.txt","01、玄幻\《永夜君王》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10394255"
"01、玄幻\42、保 护\《保护我方族长》（校对版）.txt","01、玄幻\《保护我方族长》（校对版）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","21398311"
"01、玄幻\43、神 话\《神话纪元，我进化成了恒星级巨兽》（校对版）.txt","01、玄幻\《神话纪元，我进化成了恒星级巨兽》（校对版）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","11109132"
"01、玄幻\44、渊 T 尊\《渊天尊》（校对版）.txt","01、玄幻\《渊天尊》（校对版）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","13970888"
"01、玄幻\45、武 炼\《武炼巅峰》（校对版全本）.txt","01、玄幻\《武炼巅峰》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","39245931"
"01、玄幻\46、最 强\《万古最强宗》（校对版全本）.txt","01、玄幻\《万古最强宗》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10494563"
"01、玄幻\47、伏 天\《伏天氏》（校对版全本）.txt","01、玄幻\《伏天氏》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","18047426"
"01、玄幻\48、最 强 Z X\《史上最强赘婿》（校对版全本）.txt","01、玄幻\《史上最强赘婿》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","9988709"
"01、玄幻\49、顶 级 气 运\《顶级气运，悄悄修炼千年》（校对版全本）.txt","01、玄幻\《顶级气运，悄悄修炼千年》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","5614236"
"01、玄幻\50、武 极\《武极天下》（校对版全本）.txt","01、玄幻\《武极天下》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","14271838"
"01、玄幻\51、垂 钓\《垂钓之神》（校对版全本）.txt","01、玄幻\《垂钓之神》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","21756932"
"01、玄幻\52、异 世\《异世邪君》（校对版全本）.txt","01、玄幻\《异世邪君》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","8821113"
"01、玄幻\53、帝 霸\《帝霸》（校对版）.txt","01、玄幻\《帝霸》（校对版）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","68969976"
"01、玄幻\54、我 有\《我有一剑》（校对版）.txt","01、玄幻\《我有一剑》（校对版）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","12141237"
"01、玄幻\55、龙 F\《龙符》（校对版全本）.txt","01、玄幻\《龙符》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","7545255"
"01、玄幻\57、圣 w\《圣王》（校对版全本）.txt","01、玄幻\《圣王》（校对版全本）.txt","扁平化上移","单本去除同名文件夹，文件直接放入分类目录","10656509"
